type,id,ntags,tagkey,tagvalue,nodes
way,560778723,3,"['access', 'highway', 'source']","['private', 'service', 'Bing']","[1135830738,1135830653,5499467406,3722979535,1135830670,1135830704,5499467380,1135830654,1135830656,1135830700,1135830701,1135830702,1135830745,5407936233,3665596416,3665596415,3665596414,3665596411,5407936236,5407936238,5407936234,5407936237,6281948742,4208396830]"
way,560791193,3,"['access', 'highway', 'source']","['private', 'service', 'Bing']","[3665596416,5407936235,5407936234]"
way,565579785,2,"['highway', 'oneway']","['service', 'yes']","[321700941,321700940]"
way,565580577,3,"['highway', 'oneway', 'service']","['service', 'yes', 'parking_aisle']","[321703689,5446856664,675446696]"
way,565965575,10,"['bus:lanes', 'cycleway:lane', 'cycleway:left', 'highway', 'lanes', 'lcn', 'maxspeed', 'name', 'oneway', 'sidewalk']","['no|yes|designated', 'advisory', 'lane', 'tertiary', '2', 'yes', '50', 'M. Roxas Avenue', 'yes', 'both']","[5446811375,2672499686,321700985,5446837592,2672496206,321700940,5446837604,5446856680,5446856678,17216429]"
way,565992384,2,"['highway', 'service']","['service', 'driveway']","[5352041665,5449447898,5449447899]"
way,566236522,3,"['highway', 'name', 'oneway']","['unclassified', 'A. Ma. Regidor', 'yes']","[321704522,5452582522,5452582529,5452582523,5452582530,5452582524]"
way,566236523,3,"['highway', 'name', 'oneway']","['unclassified', 'A. Ma. Regidor', 'yes']","[5452582524,5452582537,2454115549,5452582536,5452582535,29024778]"
way,567760822,1,['highway'],['unclassified'],"[433036624,5464780848,5464155039,1858110584,1858110585,5464155040,5464860670,5464155041,5464860671,1858110582,5464155042,5464155043,1858110591,2452926023,5464860672,1858110587,1858110581,1858110575,1858110588]"
way,567783473,1,['highway'],['service'],"[5464286831,321699663]"
way,567783474,1,['highway'],['service'],"[5464286834,5464286833,5464286835,4903638261,5464286831]"
way,567783475,1,['highway'],['service'],"[5464286833,5464286832]"
way,567783476,1,['highway'],['service'],"[321699663,5464286836,5464286835]"
way,567783477,1,['highway'],['service'],"[1319775947,1649990563,1649990543,5464286879]"
way,567783478,1,['highway'],['service'],"[321700094,4903638269,4903638268,5464155050]"
way,567783479,2,"['highway', 'service']","['service', 'alley']","[5464286894,5464286893,5464286892,5464286891,5464286890,5464286889,5464286888,5464286887,5464286886,5464286885,5464286884,5464286883,5464286882]"
way,567783481,1,['highway'],['service'],"[5464155025,5464286916,5464286915,5464286914,5464286913,5464286912,5464286911,5464286910,5464286905,5464286909,5464286908,5464286907,5464286906]"
way,567795774,1,['highway'],['unclassified'],"[321699807,1935331392,675497846,321699819]"
way,567795775,1,['highway'],['service'],"[321699974,321699976,5464367906]"
way,567795776,1,['highway'],['service'],"[5464367906,5464367907,5464367908,5464367909,5464367910,5464367911,5464367912,5464367913,5464367906]"
way,567866230,2,"['highway', 'service']","['service', 'parking_aisle']","[321699978,321699974]"
way,567866231,2,"['highway', 'service']","['service', 'parking_aisle']","[321699977,321699978]"
way,567866248,2,"['foot', 'highway']","['yes', 'service']","[5464823319,5464823312]"
way,567866258,1,['highway'],['service'],"[5464823309,5464823308,5464823307,5464823306,5464823305,5464823304,5464823303,5464823302]"
way,567866259,1,['highway'],['service'],"[5464823311,5464823310,5464823319]"
way,567866260,1,['highway'],['service'],"[5464823318,5464823317,5464823316,5464823315,5464823309,5464823314,5464823313,5464823312]"
way,567873180,2,"['highway', 'service']","['service', 'parking_aisle']","[321703836,321703837]"
way,567873181,2,"['highway', 'service']","['service', 'parking_aisle']","[321703837,321703838]"
way,567873182,2,"['highway', 'service']","['service', 'driveway']","[2947206143,5941661224,2947206145]"
way,567873183,10,"['bus:lanes', 'cycleway:lane', 'cycleway:left', 'highway', 'lanes', 'lcn', 'maxspeed', 'name', 'oneway', 'sidewalk']","['no|yes|designated', 'advisory', 'lane', 'tertiary', '2', 'yes', '50', 'Osmeña Avenue', 'yes', 'both']","[5352098525,5941661243,5464874475,2947151050]"
way,567877963,1,['highway'],['service'],"[273730020,321697937,321697938,5452582541]"
way,567877964,1,['highway'],['service'],"[30763102,5464910715]"
way,567877965,1,['highway'],['service'],"[321697929,321697930,321697933]"
way,567877966,1,['highway'],['service'],"[321700123,5464910717,5464910718,1404414644,321704489]"
way,567879766,3,"['highway', 'oneway', 'service']","['service', 'yes', 'driveway']","[675544567,5446893672]"
way,567879768,3,"['highway', 'oneway', 'service']","['service', 'yes', 'driveway']","[5795430771,675544567]"
way,567879770,2,"['highway', 'name']","['unclassified', 'Quirino Avenue']","[5795430771,675544618,3981680979,4324757103]"
way,567881805,1,['highway'],['service'],"[321702544,321702545]"
way,567881807,2,"['highway', 'oneway']","['service', 'yes']","[321702542,321702543]"
way,567881809,2,"['highway', 'name']","['unclassified', 'Laurel Avenue']","[26082684,5499364260,3981680994,30763115]"
way,567883843,3,"['access', 'highway', 'name']","['destination', 'unclassified', 'Maramag']","[4903638253,5464959683,5464959682,5464959681,5464959680,5464959679,5464959678,5464959677,5464959676,5464959684,5464959675,5464959674,5464959673,5464959672,5464959671,5464959670,5464959669,5464959668,4903638253]"
way,567883845,3,"['access', 'highway', 'name']","['destination', 'unclassified', 'Maramag']","[1319775957,5464959667,4903638248,5464959666,4903638249,5464959665,4903638253]"
way,567893634,1,['highway'],['residential'],"[5465027736,5465027737,5465027738,5465027739,5465027740,5465027741,5465027742,5465027758,5465027757,5465027756,5465027755,5465027754,5465027753,5465027745,5465027744,5465027752,5465027751,5465027746,5465027750,5465027749,5465027748,5465065013,5465027747]"
way,567899790,1,['highway'],['service'],"[5465081184,5465081183,5465081182,5465081181,5465081180,5465081179,5465081178]"
way,567900765,1,['highway'],['service'],"[5465086251,5465086250,5465086249,5465086248,5465086247,5465086246,5465086245,5465086244,5465086243]"
way,567906300,1,['highway'],['track'],"[5465124136,5465124135,5465124134,5465124133,5465124132,5465124131,5465124130,5465124129,5465124128,5465124127]"
way,567908716,1,['highway'],['service'],"[6463656384,6463657585,6463657586,5465158289,5465158293,5465158288,5465158287,5465158286,5465158284,5465158283,5465158282,5465158281,5465158280,5465158279,5465158278]"
way,569215283,3,"['access', 'highway', 'name']","['destination', 'unclassified', 'Pardo de Tavera']","[321702436,321702437,321702439,5464286858,6383869142,321702441,321702440,321702442,321702443,1421875701,5464286857,5464286853,30763200]"
way,569215285,10,"['foot', 'highway', 'lanes', 'name', 'oneway', 'postal_code', 'ref', 'sidewalk', 'smoking', 'turn:lanes']","['no', 'tertiary', '3', 'University Avenue', 'yes', '1101', '175', 'separate', 'no', 'through|right|right']","[4412520593,2074398257,29025439]"
way,569337871,12,"['foot', 'highway', 'lanes', 'maxspeed', 'maxspeed:bus', 'maxspeed:hgv', 'name', 'old_name', 'oneway', 'ref', 'surface', 'wikipedia']","['no', 'trunk', '5', '60', '50', '50', 'Commonwealth Avenue', 'Don Mariano Marcos Avenue', 'yes', '170', 'concrete', 'en:Commonwealth Avenue, Quezon City']","[1112906972,1116509172,359382172,5475588692,1137212632,508308318]"
way,569341845,11,"['bus', 'highway', 'lanes', 'maxspeed', 'maxspeed:bus', 'name', 'old_name', 'oneway', 'psv', 'ref', 'wikipedia']","['yes', 'trunk', '2', '60', '50', 'Commonwealth Avenue Bus/PUJ', 'Don Mariano Marcos Avenue', 'yes', 'designated', '170', 'en:Commonwealth Avenue, Quezon City']","[5475576580,5475576587,5475576583,5475576586,5475576590,5585622053,2162170729,5499240532,5475576560]"
way,569343205,11,"['foot', 'highway', 'lanes', 'maxspeed', 'maxspeed:bus', 'maxspeed:hgv', 'name', 'old_name', 'oneway', 'ref', 'wikipedia']","['no', 'trunk', '5', '60', '50', '50', 'Commonwealth Avenue', 'Don Mariano Marcos Avenue', 'yes', '170', 'en:Commonwealth Avenue, Quezon City']","[5475588690,5475588691,5475576564]"
way,572403485,2,"['highway', 'name']","['residential', 'E. Aguinaldo']","[30763172,5499240561,5499338450,5499240562,30763171]"
way,572403486,2,"['highway', 'name']","['residential', 'Roces']","[30763135,1629353724,30763136]"
way,572407436,2,"['access', 'highway']","['no', 'service']","[5499240539,5499240534,5499240544]"
way,572407437,2,"['access', 'highway']","['no', 'service']","[5499240538,5499240539]"
way,572407438,2,"['access', 'highway']","['no', 'service']","[5499240537,5499240538,6281948795,5499240532]"
way,572407439,2,"['access', 'highway']","['no', 'service']","[5499240534,5499240535,5499240536,5499240537]"
way,572407440,1,['highway'],['service'],"[5499240546,30763173]"
way,572407441,1,['highway'],['service'],"[5499240548,5499240547]"
way,572407442,1,['highway'],['residential'],"[5499338453,5499338454,5499338455,5499240549,5499240548,5499240550]"
way,572407443,1,['highway'],['residential'],"[30763172,5499240560,5499240565,5499240564,5499240558,5499240563,5499240551,5499240550,5499338451]"
way,572408711,1,['highway'],['service'],"[5499252565,5499252564,5499252563]"
way,572408712,1,['highway'],['service'],"[5499252569,5499252568,5499252567,5499252565,5499252566]"
way,572412470,6,"['admin_level', 'boundary', 'hgv:conditional', 'highway', 'name', 'oneway']","['7', 'administrative', 'no @ Mo-Su 04:00-17:00', 'secondary', 'Central Avenue', 'yes']","[5499282651,5499282653,5499282652,1802319218]"
way,572412471,5,"['bicycle', 'foot', 'highway', 'oneway', 'surface']","['yes', 'no', 'service', 'yes', 'concrete']","[1802319229,1802318928,1802319225,1802319228]"
way,572412472,1,['highway'],['service'],"[5499282660,5499282659,5499282663,6279956219,5499282658]"
way,572412473,1,['highway'],['service'],"[5499282662,5499282655,5499282660,5499282661]"
