17216409,"{'2672533803': 0.01608155587095331, '5472125196': 0.009890548622264583}"
2672533803,{'2074398262': 0.011626481844830215}
2074398262,{'4412520606': 0.0981257451459607}
4412520606,{'2074398260': 0.04496676168826191}
2074398260,{'17216442': 0.03988545857470841}
17216442,"{'130023532': 0.011657383220946019, '29025708': 0.01863100017381157, '1208264625': 0.022257399787205322}"
17216414,"{'2947162299': 0.0375151522625597, '321704498': 0.041119188361780114}"
2947162299,"{'17216414': 0.0375151522625597, '2947162296': 0.0451489279883551, '1515529795': 0.11495620886483736}"
2947162296,"{'2947162299': 0.0451489279883551, '3981680986': 0.03854287381465692, '1515529817': 0.0076094173349646995}"
3981680986,"{'2947162296': 0.03854287381465692, '3981680987': 0.013837593795302793}"
3981680987,"{'3981680986': 0.013837593795302793, '3983839987': 0.02124778033856266}"
3983839987,"{'3981680987': 0.02124778033856266, '1402839299': 0.0383548377968333, '3983839986': 0.005122231508668908, '3983839985': 0.0063625558918917625}"
1402839299,"{'3983839987': 0.0383548377968333, '1402839308': 0.09354845145994074, '1402839306': 0.041264603792628626}"
1402839308,"{'1402839299': 0.09354845145994074, '30763177': 0.012090989345963933, '1402839300': 0.0460558232171972}"
30763177,"{'1402839308': 0.012090989345963933, '4412520589': 0.03331511472051693, '30763091': 0.12144748117697186}"
4412520589,"{'30763177': 0.03331511472051693, '26082684': 0.030486771949679903, '4412520592': 0.01427212965633743}"
26082684,"{'4412520589': 0.030486771949679903, '5499364256': 0.019755265396452552, '1421846763': 0.02109849091913616, '5499364260': 0.034608604821909764}"
30763115,"{'3981680993': 0.05991825557623006, '30763242': 0.040888137671979685, '3981680994': 0.039128350274214775}"
3981680993,"{'30763115': 0.05991825557623006, '30763116': 0.04587632280495466}"
30763116,"{'3981680993': 0.04587632280495466, '33625122': 0.015496093876857329, '3365347778': 0.013012599984919484}"
33625122,"{'30763116': 0.015496093876857329, '3981680992': 0.06494940088485386, '30763126': 0.08747123616694694}"
3981680992,"{'33625122': 0.06494940088485386, '3981680991': 0.09386985365683723}"
3981680991,"{'3981680992': 0.09386985365683723, '26082653': 0.049124793664069945}"
